전공영역1,전공영역2,구분,학수번호-분반,교과목명,교수,시간,학점,담은 인원,정원,비고
의과대학,의예과,전공핵심,CHY2002-41,유기화학1,윤승수,월13:30-14:45【330126】수12:00-13:15【330126】,3,86,0,온-오프[오프라인+강의저장]
의과대학,의예과,전공핵심,CHY2002-42,유기화학1,윤재숙,월13:30-14:45【330118】수12:00-13:15【330118】,3,42,0,오프라인
의과대학,의예과,전공핵심,CHY2002-43,유기화학1,배한용,화13:30-14:45【330126】목12:00-13:15【330126】,3,84,0,온-오프[오프라인+강의저장]
의과대학,의예과,전공일반,MED2034-41,인문과나,김석주,수13:00-13:50【711112】수14:00-14:50【711112】,2,45,0,오프라인
의과대학,의예과,전공핵심,MED2038-41,인체유전학기본,권일민,목14:00-14:50【711112】목15:00-15:50【711112】,2,45,0,오프라인
의과대학,의예과,전공,MED2039-41,분자세포생물학,백관혁,화09:00-10:15【711112】화10:30-11:45【711112】,3,45,0,오프라인
의과대학,의예과,전공일반,MED2036-41,인문과사회,박재현,수15:00-15:50【711112】수16:00-16:50【711112】,2,41,0,오프라인
의과대학,의학과,전공일반,MED3062-41,감염체의이해,신동우,화09:00-09:50【711127】화10:00-10:50【711127】화11:00-11:50【711127】목13:00-13:50【711127】목14:00-14:50【711127】,5,23,0,오프라인
의과대학,의학과,전공일반,MED3064-41,약리의이해,이연종,화13:00-13:50【711127】화14:00-14:50【711127】목09:00-09:50【711127】목10:00-10:50【711127】,4,24,0,오프라인
의과대학,의학과,전공일반,MED3065-41,의학통계,신명희,월16:30-17:45【711127】수15:00-16:15【711127】,3,20,0,오프라인
의과대학,의학과,전공일반,MED3066-41,인체방어기전,김태진,월09:00-10:15【711127】월10:30-11:45【711127】,3,23,0,오프라인
의과대학,의학과,전공일반,MED3067-41,질병의병리기전,장기택,금09:00-10:15【711127】금10:30-11:45【711127】,3,23,0,오프라인
의과대학,의학과,전공일반,MED3095-41,필수학생연구2,,미지정,2,1,0,
의과대학,의학과,전공일반,MED3096-41,내과학실습,이준혁,월08:00-08:50【미지정】월09:00-09:50【미지정】월10:00-10:50【미지정】월11:00-11:50【미지정】월12:00-12:50【미지정】월13:00-13:50【미지정】화08:00-08:50【미지정】화09:00-09:50【미지정】화10:00-10:50【미지정】화11:00-11:50【미지정】,15,2,0,오프라인
의과대학,의학과,전공일반,MED3099-41,산부인과학실습,이정원,목08:00-08:50【미지정】목09:00-09:50【미지정】목10:00-10:50【미지정】목11:00-11:50【미지정】목18:00-18:50【미지정】목19:00-19:50【미지정】목20:00-20:50【미지정】목21:00-21:45【미지정】,4,1,0,오프라인
의과대학,의학과,전공일반,MED3100-41,소아청소년과학실습,안강모,월08:00-08:50【미지정】월09:00-09:50【미지정】월10:00-10:50【미지정】월11:00-11:50【미지정】월18:00-18:50【미지정】월19:00-19:50【미지정】월20:00-20:50【미지정】월21:00-21:45【미지정】,4,0,0,오프라인
의과대학,의학과,전공일반,MED3101-41,신경과학실습,서대원,수08:00-08:50【미지정】수09:00-09:50【미지정】수10:00-10:50【미지정】수11:00-11:50【미지정】수18:00-18:50【미지정】수19:00-19:50【미지정】수20:00-20:50【미지정】수21:00-21:45【미지정】,4,0,0,오프라인
의과대학,의학과,전공일반,MED3103-41,외과학실습1,김지수,수08:00-08:50【미지정】수09:00-09:50【미지정】수10:00-10:50【미지정】수11:00-11:50【미지정】수18:00-18:50【미지정】수19:00-19:50【미지정】수20:00-20:50【미지정】수21:00-21:45【미지정】,4,1,0,오프라인
의과대학,의학과,전공일반,MED3104-41,정신건강의학과학실습,홍진표,화08:00-08:50【미지정】화09:00-09:50【미지정】화10:00-10:50【미지정】화11:00-11:50【미지정】화18:00-18:50【미지정】화19:00-19:50【미지정】화20:00-20:50【미지정】화21:00-21:45【미지정】,4,0,0,오프라인
의과대학,의학과,전공일반,MED3107-41,영상의학실습,한부경,금13:00-13:50【미지정】금14:00-14:50【미지정】금15:00-15:50【미지정】금16:00-16:50【미지정】,2,2,0,오프라인
의과대학,의학과,전공일반,MED3108-41,페이션트익스피리언스1,전경만,화09:00-09:50【미지정】화10:00-10:50【미지정】,1,0,0,오프라인
